RUN	computerdatabase.BasicSimulation	basicsimulation	1588528347906	0	3.3.1
USER	Scenario Name	1	START	1588528349358	1588528349358
REQUEST	1		request_1	1588528349397	1588528349730	OK	 
REQUEST	1		request_1 Redirect 1	1588528349740	1588528349832	OK	 
REQUEST	1		request_2	1588528356857	1588528357233	OK	 
REQUEST	1		request_3	1588528359226	1588528359311	OK	 
REQUEST	1		request_4	1588528362315	1588528362433	OK	 
REQUEST	1		request_4 Redirect 1	1588528362434	1588528362701	OK	 
REQUEST	1		request_5	1588528364705	1588528364867	OK	 
REQUEST	1		request_6	1588528365535	1588528365689	OK	 
REQUEST	1		request_7	1588528366315	1588528366486	OK	 
REQUEST	1		request_8	1588528367225	1588528367628	OK	 
REQUEST	1		request_9	1588528372625	1588528372758	OK	 
REQUEST	1		request_10	1588528373762	1588528374106	OK	 
REQUEST	1		request_10 Redirect 1	1588528374118	1588528374196	OK	 
USER	Scenario Name	1	END	1588528349358	1588528374201
